Designator,Mid X,Mid Y,Rotation,Layer
D1,124.4,-46.849875,270.0,top
D10,93.5,-29.539875,270.0,top
D11,76.4,-29.849875,270.0,top
D12,81.2,-29.839875,270.0,top
D13,69.4,-33.839875,270.0,top
D14,72.8,-33.839875,270.0,top
D15,69.3,-39.149875,270.0,top
D16,72.8,-39.149875,270.0,top
D2,124.4,-52.349875,270.0,top
D3,120.6,-46.749875,270.0,top
D4,120.6,-52.249875,270.0,top
D5,101.6,-32.349875,270.0,top
D6,114.7,-32.349875,270.0,top
D7,98.2,-32.359875,270.0,top
D8,111.7,-32.359875,270.0,top
D9,90.4,-29.539875,270.0,top
FPC1,94.15,-50.109875,0.0,top
FPC2,78.17,-50.127375,0.0,top
H1,101.25,-27.624875,270.0,bottom
H2,101.23,-24.374875,270.0,bottom
PW1,112.9,-24.152375,180.0,top
SW1,128.95,-59.249875,0.0,top
SW2,106.5063,-39.839875,0.0,top
SW3,85.45,-36.839875,0.0,top
SW4,64.55,-46.169875,0.0,top
U1,127.005,-32.372375,90.0,top
USBC1,70.33,-25.519875,180.0,top
